workerid,proliferate.condition,ah_response,item,object,predicate,prior_condition,prior_fact,prior_rating,question_order,response,rt,slide_number_in_experiment,speaker_response,text,trigger,trigger_class,utterance,error
875,condition1,1,emma,,think,low_prob,Emma is in first grade,0.323098591549296,ah_first,,26139,21,0.58,,think_neg,Critical,"<font color=""red"">Brandon</font> thinks that Emma didn't study on Saturday morning.",
875,condition1,,jon,,Polar,low_prob,Jon lives 10 miles away from work,0.235696202531646,ah_first,,10131,22,0.96,,bare_neg,Critical,Jon doesn't walk to work.,
875,condition1,,kids,,MC,neutral,Many children like ice cream,0,ah_first,,8929,23,0.98,,MC,Filler,Jack was playing outside with the kids.,
875,condition1,0.91,charley,,know,low_prob,Charley lives in Korea,0.277066666666667,ah_first,,18177,24,0.98,,know_pos,Critical,"<font color=""red"">Laura</font> knows that Charley speaks Spanish.",
875,condition1,,tony,,Polar,high_prob,Tony really likes to party with his friends,0.747279411764706,ah_first,,10231,25,0.95,,bare_pos,Critical,Tony had a drink last night.,
875,condition1,0.94,grace,,think,high_prob,Grace loves her sister,0.790144927536232,ah_first,,22093,26,0.98,,think_neg,Critical,"<font color=""red"">Nicholas</font> thinks that Grace didn't visit her sister.",
875,condition1,,hat,,MC,neutral,Hats are worn on the head,0,ah_first,,21177,27,0.99,,MC,Filler,Samantha has a new hat.,
875,condition1,0.92,emily,,think,low_prob,Emily never has any money,0.151655629139073,ah_first,,23075,28,0.56,,think_pos,Critical,"<font color=""red"">Rebecca</font> thinks that Emily bought a car yesterday.",
875,condition1,0.96,owen,,know,high_prob,Owen lives in Chicago,0.74648275862069,ah_first,,23093,29,0.93,,know_pos,Critical,"<font color=""red"">Ryan</font> knows that Owen shoveled snow last winter.",
645,condition1,,,Susan,,,,,,Susan,0,1,,bot_check,,,,
645,condition1,0.96,josh,,say,high_prob,Josh is a 5-year old boy,0.544575163398693,speaker_first,,29732,4,0.69,,say_pos,Control,"<font color=""red"">Nicholas</font> said that Josh learned to ride a bike yesterday.",
645,condition1,0.96,tony,,inform,low_prob,Tony has been sober for 20 years,0.2196,speaker_first,,23832,5,0.35,,inform_pos,Control,"<font color=""red"">Sharon</font> informed Sam that Tony had a drink last night.",
645,condition1,0.96,jon,,think,low_prob,Jon lives 10 miles away from work,0.235696202531646,speaker_first,,13296,6,0.1,,think_pos,Critical,"<font color=""red"">Amanda</font> thinks that Jon walks to work.",
645,condition1,0.98,mary,,inform,high_prob,Mary is taking a prenatal yoga class,0.815167785234899,speaker_first,,14393,7,0.81,,inform_pos,Control,"<font color=""red"">Eric</font> informed Sam that Mary is pregnant.",
645,condition1,0.97,isabella,,know,low_prob,Isabella is a vegetarian,0.125813953488372,speaker_first,,18202,8,0.84,,know_neg,Critical,"<font color=""red"">Shirley</font> knows that Isabella didn't eat a steak on Sunday.",
645,condition1,,jayden,,Polar,low_prob,Jayden doesn't have a driver's license,0.1756,speaker_first,,10364,9,0.99,,bare_neg,Critical,Jayden didn't rent a car.,
645,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,speaker_first,,10190,10,0.99,,MC,Filler,Carl's kids were in the garage.,
645,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,speaker_first,,8424,11,0.98,,MC,Filler,This pizza has mushrooms on it.,
645,condition1,,kids,,MC,neutral,Many children like ice cream,0,speaker_first,,8217,12,1,,MC,Filler,Jack was playing outside with the kids.,
645,condition1,0.99,emily,,think,high_prob,Emily has been saving for a year,0.561555555555556,speaker_first,,18554,13,0.52,,think_neg,Critical,"<font color=""red"">Stephanie</font> thinks that Emily didn't buy a car yesterday.",
645,condition1,0.98,mia,,think,low_prob,Mia is a nun,0.224901960784314,speaker_first,,16343,14,0.54,,think_neg,Critical,"<font color=""red"">Brandon</font> thinks that Mia didn't drink 2 cocktails last night.",
645,condition1,0.99,sophia,,know,low_prob,Sophia is a high end fashion model,0.415413533834586,speaker_first,,15158,15,0.62,,know_pos,Critical,"<font color=""red"">Deborah</font> knows that Sophia got a tattoo.",
645,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,speaker_first,,5550,16,0.98,,MC,Filler,These muffins have blueberries in them.,
645,condition1,,hat,,MC,neutral,Hats are worn on the head,0,speaker_first,,6075,17,0.98,,MC,Filler,Samantha has a new hat.,
645,condition1,0.99,danny,,inform,low_prob,Danny is a diabetic,0.27993006993007,speaker_first,,11127,18,0.86,,inform_neg,Control,"<font color=""red"">Jacob</font> informed Sam that Danny didn't eat the last cupcake.",
645,condition1,,julian,,Polar,high_prob,Julian is Cuban,0.599493670886076,speaker_first,,5569,19,0.99,,bare_pos,Critical,Julian dances salsa.,
645,condition1,0.99,charley,,say,low_prob,Charley lives in Korea,0.277066666666667,speaker_first,,10617,20,0.5,,say_pos,Control,"<font color=""red"">Timothy</font> said that Charley speaks Spanish.",
645,condition1,,frank,,Polar,high_prob,Frank has always wanted a pet,0.67972027972028,speaker_first,,12331,21,0.98,,bare_neg,Critical,Frank didn't get a cat.,
645,condition1,,owen,,Polar,low_prob,Owen lives in New Orleans,0.279503546099291,speaker_first,,5501,22,1,,bare_pos,Critical,Owen shoveled snow last winter.,
645,condition1,0.98,zoe,,know,high_prob,Zoe is a math major,0.745971223021583,speaker_first,,11401,23,0.71,,know_pos,Critical,"<font color=""red"">Emily</font> knows that Zoe calculated the tip.",
645,condition1,0.99,josie,,think,high_prob,Josie loves France,0.73343949044586,speaker_first,,8765,24,0.64,,think_pos,Critical,"<font color=""red"">Rebecca</font> thinks that Josie went on vacation to France.",
645,condition1,0.99,jackson,,say,low_prob,Jackson is obese,0.186013986013986,speaker_first,,12024,25,0.52,,say_neg,Control,"<font color=""red"">Laura</font> said that Jackson didn't run 10 miles.",
645,condition1,0.98,emma,,know,high_prob,Emma is in law school,0.680763888888889,speaker_first,,9816,26,0.58,,know_neg,Critical,"<font color=""red"">Carol</font> knows that Emma didn't study on Saturday morning.",
645,condition1,0.99,grace,,inform,high_prob,Grace loves her sister,0.790144927536232,speaker_first,,12645,27,0.55,,inform_neg,Control,"<font color=""red"">Jonathan</font> informed Sam that Grace didn't visit her sister.",
645,condition1,0.99,olivia,,say,high_prob,Olivia works the third shift,0.664776119402985,speaker_first,,10872,28,0.52,,say_neg,Control,"<font color=""red"">Ryan</font> said that Olivia doesn't sleep until noon.",
645,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,speaker_first,,9724,29,0.95,,MC,Filler,Ann dances ballet.,
739,condition1,,,Jessica,,,,,,Jessica,0,1,,bot_check,,,,
739,condition1,,kids,,MC,neutral,Many children like ice cream,0,ah_first,,10893,4,0.99,,MC,Filler,Jack was playing outside with the kids.,
739,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,ah_first,,8107,5,0.88,,MC,Filler,These muffins have blueberries in them.,
739,condition1,0.98,owen,,inform,high_prob,Owen lives in Chicago,0.74648275862069,ah_first,,17040,6,0.79,,inform_pos,Control,"<font color=""red"">Gary</font> informed Sam that Owen shoveled snow last winter.",
739,condition1,0.73,olivia,,say,high_prob,Olivia works the third shift,0.664776119402985,ah_first,,11083,7,0.56,,say_pos,Control,"<font color=""red"">Sharon</font> said that Olivia sleeps until noon.",
739,condition1,0.8,emily,,think,low_prob,Emily never has any money,0.151655629139073,ah_first,,834661,8,0.34,,think_neg,Critical,"<font color=""red"">Rebecca</font> thinks that Emily didn't buy a car yesterday.",
739,condition1,,sophia,,Polar,low_prob,Sophia is a high end fashion model,0.415413533834586,ah_first,,77274,9,0.92,,bare_pos,Critical,Sophia got a tattoo.,
739,condition1,0.85,jayden,,inform,low_prob,Jayden doesn't have a driver's license,0.1756,ah_first,,84108,10,0.69,,inform_neg,Control,"<font color=""red"">Deborah</font> informed Sam that Jayden didn't rent a car.",
739,condition1,,jackson,,Polar,low_prob,Jackson is obese,0.186013986013986,ah_first,,98109,11,0.63,,bare_neg,Critical,Jackson didn't run 10 miles.,
739,condition1,,tony,,Polar,high_prob,Tony really likes to party with his friends,0.747279411764706,ah_first,,10238,12,0.25,,bare_neg,Critical,Tony didn't have a drink last night.,
739,condition1,,hat,,MC,neutral,Hats are worn on the head,0,ah_first,,8848,13,0.94,,MC,Filler,Samantha has a new hat.,
739,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,ah_first,,6816,14,0.71,,MC,Filler,Ann dances ballet.,
739,condition1,0.46,julian,,know,low_prob,Julian is German,0.401796875,ah_first,,139656,15,0.48,,know_neg,Critical,"<font color=""red"">Jonathan</font> knows that Julian doesn't dance salsa.",
739,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,ah_first,,5994,16,0.94,,MC,Filler,This pizza has mushrooms on it.,
739,condition1,0.95,isabella,,think,high_prob,Isabella is from Argentina,0.517707006369427,ah_first,,11656,17,0.49,,think_pos,Critical,"<font color=""red"">Shirley</font> thinks that Isabella ate a steak on Sunday.",
739,condition1,0.84,josh,,inform,high_prob,Josh is a 5-year old boy,0.544575163398693,ah_first,,130746,18,0.48,,inform_neg,Control,"<font color=""red"">Brandon</font> informed Sam that Josh didn't learn to ride a bike yesterday.",
739,condition1,0.74,grace,,say,low_prob,Grace hates her sister,0.24777027027027,ah_first,,46420,19,0.61,,say_pos,Control,"<font color=""red"">Jacob</font> said that Grace visited her sister.",
739,condition1,0.6,josie,,think,high_prob,Josie loves France,0.73343949044586,ah_first,,14313,20,0.38,,think_neg,Critical,"<font color=""red"">Laura</font> thinks that Josie didn't go on vacation to France.",
739,condition1,0.81,jon,,say,low_prob,Jon lives 10 miles away from work,0.235696202531646,ah_first,,12180,21,0.68,,say_neg,Control,"<font color=""red"">Stephanie</font> said that Jon doesn't walk to work.",
739,condition1,0.47,mia,,think,low_prob,Mia is a nun,0.224901960784314,ah_first,,12765,22,0.26,,think_pos,Critical,"<font color=""red"">Emily</font> thinks that Mia drank 2 cocktails last night.",
739,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,ah_first,,10891,23,0.84,,MC,Filler,Carl's kids were in the garage.,
739,condition1,0.84,danny,,know,low_prob,Danny is a diabetic,0.27993006993007,ah_first,,10106,24,0.46,,know_pos,Critical,"<font color=""red"">Jason</font> knows that Danny ate the last cupcake.",
739,condition1,0.84,zoe,,know,high_prob,Zoe is a math major,0.745971223021583,ah_first,,19598,25,0.54,,know_neg,Critical,"<font color=""red"">Ronald</font> knows that Zoe didn't calculate the tip.",
739,condition1,0.86,mary,,say,high_prob,Mary is taking a prenatal yoga class,0.815167785234899,ah_first,,8757,26,0.57,,say_neg,Control,"<font color=""red"">Michelle</font> said that Mary isn't pregnant.",
739,condition1,0.92,charley,,know,high_prob,Charley lives in Mexico,0.804632352941177,ah_first,,192330,27,0.82,,know_pos,Critical,"<font color=""red"">Amanda</font> knows that Charley speaks Spanish.",
739,condition1,,emma,,Polar,high_prob,Emma is in law school,0.680763888888889,ah_first,,7316,28,0.96,,bare_pos,Critical,Emma studied on Saturday morning.,
739,condition1,0.63,frank,,inform,low_prob,Frank is allergic to cats,0.16965034965035,ah_first,,8917,29,0.38,,inform_pos,Control,"<font color=""red"">Ryan</font> informed Sam that Frank got a cat.",
698,condition1,,,Jennifer,,,,,,Jennifer,0,1,,bot_check,,,,
698,condition1,0.76,jackson,,inform,high_prob,Jackson is training for a marathon,0.774965034965035,speaker_first,,38097,4,0.7,,inform_pos,Control,"<font color=""red"">Jason</font> informed Sam that Jackson ran 10 miles.",
698,condition1,,hat,,MC,neutral,Hats are worn on the head,0,speaker_first,,14085,5,1,,MC,Filler,Samantha has a new hat.,
698,condition1,1,zoe,,think,low_prob,Zoe is 5 years old,0.192108843537415,speaker_first,,15507,6,0,,think_pos,Critical,"<font color=""red"">Stephanie</font> thinks that Zoe calculated the tip.",
698,condition1,1,owen,,know,low_prob,Owen lives in New Orleans,0.279503546099291,speaker_first,,18484,7,0.84,,know_neg,Critical,"<font color=""red"">Michelle</font> knows that Owen didn't shovel snow last winter.",
698,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,speaker_first,,6784,8,1,,MC,Filler,This pizza has mushrooms on it.,
698,condition1,,grace,,Polar,high_prob,Grace loves her sister,0.790144927536232,speaker_first,,9575,9,1,,bare_pos,Critical,Grace visited her sister.,
698,condition1,,emily,,Polar,low_prob,Emily never has any money,0.151655629139073,speaker_first,,6956,10,1,,bare_pos,Critical,Emily bought a car yesterday.,
698,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,speaker_first,,11515,11,1,,MC,Filler,Carl's kids were in the garage.,
698,condition1,0.74,mary,,inform,low_prob,Mary is a middle school student,0.225401459854015,speaker_first,,20560,12,0.49,,inform_pos,Control,"<font color=""red"">Melissa</font> informed Sam that Mary is pregnant.",
698,condition1,1,emma,,say,high_prob,Emma is in law school,0.680763888888889,speaker_first,,15575,13,0.47,,say_neg,Control,"<font color=""red"">Deborah</font> said that Emma didn't study on Saturday morning.",
698,condition1,1,josie,,inform,low_prob,Josie doesn't have a passport,0.117286821705426,speaker_first,,14879,14,0.51,,inform_neg,Control,"<font color=""red"">Jeffrey</font> informed Sam that Josie didn't go on vacation to France.",
698,condition1,1,jon,,know,high_prob,Jon lives 2 blocks away from work,0.7559375,speaker_first,,12502,15,1,,know_neg,Critical,"<font color=""red"">Brandon</font> knows that Jon doesn't walk to work.",
698,condition1,1,olivia,,think,high_prob,Olivia works the third shift,0.664776119402985,speaker_first,,12396,16,0.24,,think_pos,Critical,"<font color=""red"">Gary</font> thinks that Olivia sleeps until noon.",
698,condition1,1,isabella,,say,high_prob,Isabella is from Argentina,0.517707006369427,speaker_first,,12041,17,0.49,,say_pos,Control,"<font color=""red"">Ronald</font> said that Isabella ate a steak on Sunday.",
698,condition1,0.5,mia,,think,high_prob,Mia is a college student,0.579022556390977,speaker_first,,16340,18,0.14,,think_neg,Critical,"<font color=""red"">Timothy</font> thinks that Mia didn't drink 2 cocktails last night.",
698,condition1,1,josh,,say,low_prob,Josh is a 75-year old man,0.236917293233083,speaker_first,,11361,19,0.71,,say_pos,Control,"<font color=""red"">Amanda</font> said that Josh learned to ride a bike yesterday.",
698,condition1,,jayden,,Polar,low_prob,Jayden doesn't have a driver's license,0.1756,speaker_first,,6711,20,1,,bare_neg,Critical,Jayden didn't rent a car.,
698,condition1,1,charley,,know,high_prob,Charley lives in Mexico,0.804632352941177,speaker_first,,9048,21,1,,know_pos,Critical,"<font color=""red"">Emily</font> knows that Charley speaks Spanish.",
698,condition1,1,sophia,,say,low_prob,Sophia is a high end fashion model,0.415413533834586,speaker_first,,11660,22,0.49,,say_neg,Control,"<font color=""red"">Jonathan</font> said that Sophia didn't get a tattoo.",
698,condition1,1,julian,,know,low_prob,Julian is German,0.401796875,speaker_first,,9194,23,1,,know_pos,Critical,"<font color=""red"">Laura</font> knows that Julian dances salsa.",
698,condition1,,tony,,Polar,high_prob,Tony really likes to party with his friends,0.747279411764706,speaker_first,,6136,24,1,,bare_neg,Critical,Tony didn't have a drink last night.,
698,condition1,,kids,,MC,neutral,Many children like ice cream,0,speaker_first,,6784,25,1,,MC,Filler,Jack was playing outside with the kids.,
698,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,speaker_first,,5756,26,1,,MC,Filler,These muffins have blueberries in them.,
698,condition1,0.98,danny,,inform,high_prob,Danny loves cake,0.697062937062937,speaker_first,,18504,27,0.69,,inform_neg,Control,"<font color=""red"">Carol</font> informed Sam that Danny didn't eat the last cupcake.",
698,condition1,0.8,frank,,think,low_prob,Frank is allergic to cats,0.16965034965035,speaker_first,,12852,28,0.73,,think_neg,Critical,"<font color=""red"">Rebecca</font> thinks that Frank didn't get a cat.",
698,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,speaker_first,,4731,29,1,,MC,Filler,Ann dances ballet.,
994,condition1,,,Elizabeth,,,,,,Elizabeth,0,1,,bot_check,,,,
994,condition1,,danny,,Polar,low_prob,Danny is a diabetic,0.27993006993007,ah_first,,11265,4,0.04,,bare_pos,Critical,Danny ate the last cupcake.,
994,condition1,0.84,sophia,,think,low_prob,Sophia is a high end fashion model,0.415413533834586,ah_first,,24631,5,0.74,,think_pos,Critical,"<font color=""red"">Jason</font> thinks that Sophia got a tattoo.",
994,condition1,0.77,julian,,inform,low_prob,Julian is German,0.401796875,ah_first,,8589,6,0.74,,inform_neg,Control,"<font color=""red"">Stephanie</font> informed Sam that Julian doesn't dance salsa.",
994,condition1,0.88,grace,,inform,high_prob,Grace loves her sister,0.790144927536232,ah_first,,11224,7,0.77,,inform_neg,Control,"<font color=""red"">Brandon</font> informed Sam that Grace didn't visit her sister.",
994,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,ah_first,,13230,8,0.93,,MC,Filler,Carl's kids were in the garage.,
994,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,ah_first,,5577,9,0.91,,MC,Filler,Ann dances ballet.,
994,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,ah_first,,5194,10,0.94,,MC,Filler,These muffins have blueberries in them.,
994,condition1,0.93,olivia,,say,low_prob,Olivia has two small children,0.210592105263158,ah_first,,5617,11,0.84,,say_pos,Control,"<font color=""red"">Nicholas</font> said that Olivia sleeps until noon.",
994,condition1,0.95,jackson,,say,high_prob,Jackson is training for a marathon,0.774965034965035,ah_first,,7871,12,0.87,,say_pos,Control,"<font color=""red"">Ronald</font> said that Jackson ran 10 miles.",
994,condition1,0.95,josh,,think,high_prob,Josh is a 5-year old boy,0.544575163398693,ah_first,,11601,13,0.83,,think_neg,Critical,"<font color=""red"">Sharon</font> thinks that Josh didn't learn to ride a bike yesterday.",
994,condition1,,hat,,MC,neutral,Hats are worn on the head,0,ah_first,,4938,14,0.83,,MC,Filler,Samantha has a new hat.,
994,condition1,0.85,isabella,,know,low_prob,Isabella is a vegetarian,0.125813953488372,ah_first,,4971,15,0.81,,know_neg,Critical,"<font color=""red"">Jonathan</font> knows that Isabella didn't eat a steak on Sunday.",
994,condition1,,mia,,Polar,high_prob,Mia is a college student,0.579022556390977,ah_first,,2051,16,0.89,,bare_pos,Critical,Mia drank 2 cocktails last night.,
994,condition1,0.78,owen,,inform,low_prob,Owen lives in New Orleans,0.279503546099291,ah_first,,5108,17,0.8,,inform_pos,Control,"<font color=""red"">Melissa</font> informed Sam that Owen shoveled snow last winter.",
994,condition1,0.84,charley,,inform,high_prob,Charley lives in Mexico,0.804632352941177,ah_first,,4020,18,0.75,,inform_pos,Control,"<font color=""red"">Ryan</font> informed Sam that Charley speaks Spanish.",
994,condition1,0.87,zoe,,say,high_prob,Zoe is a math major,0.745971223021583,ah_first,,33745,19,0.85,,say_neg,Control,"<font color=""red"">Emily</font> said that Zoe didn't calculate the tip.",
994,condition1,0.96,josie,,know,low_prob,Josie doesn't have a passport,0.117286821705426,ah_first,,13532,20,0.17,,know_pos,Critical,"<font color=""red"">Amanda</font> knows that Josie went on vacation to France.",
994,condition1,0.8,emily,,know,high_prob,Emily has been saving for a year,0.561555555555556,ah_first,,7371,21,0.74,,know_neg,Critical,"<font color=""red"">Timothy</font> knows that Emily didn't buy a car yesterday.",
994,condition1,0.84,jayden,,think,high_prob,Jayden's car is in the shop,0.687794117647059,ah_first,,7713,22,0.68,,think_pos,Critical,"<font color=""red"">Eric</font> thinks that Jayden rented a car.",
994,condition1,,emma,,Polar,low_prob,Emma is in first grade,0.323098591549296,ah_first,,5501,23,0.98,,bare_neg,Critical,Emma didn't study on Saturday morning.,
994,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,ah_first,,3363,24,0.95,,MC,Filler,This pizza has mushrooms on it.,
994,condition1,0.92,jon,,know,high_prob,Jon lives 2 blocks away from work,0.7559375,ah_first,,5691,25,0.93,,know_pos,Critical,"<font color=""red"">Laura</font> knows that Jon walks to work.",
994,condition1,,kids,,MC,neutral,Many children like ice cream,0,ah_first,,7530,26,0.92,,MC,Filler,Jack was playing outside with the kids.,
994,condition1,0.91,frank,,say,low_prob,Frank is allergic to cats,0.16965034965035,ah_first,,6782,27,0.93,,say_neg,Control,"<font color=""red"">Carol</font> said that Frank didn't get a cat.",
994,condition1,,mary,,Polar,high_prob,Mary is taking a prenatal yoga class,0.815167785234899,ah_first,,10134,28,0.54,,bare_neg,Critical,Mary isn't pregnant.,
994,condition1,0.98,tony,,think,low_prob,Tony has been sober for 20 years,0.2196,ah_first,,7930,29,0.92,,think_neg,Critical,"<font color=""red"">Shirley</font> thinks that Tony didn't have a drink last night.",
719,condition1,,,Mary,,,,,,Mary,0,1,,bot_check,,,,
719,condition1,1,jackson,,know,high_prob,Jackson is training for a marathon,0.774965034965035,speaker_first,,22094,4,0.82,,know_pos,Critical,"<font color=""red"">Ryan</font> knows that Jackson ran 10 miles.",
719,condition1,0.95,grace,,say,low_prob,Grace hates her sister,0.24777027027027,speaker_first,,22576,5,0.56,,say_pos,Control,"<font color=""red"">Rebecca</font> said that Grace visited her sister.",
719,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,speaker_first,,12684,6,1,,MC,Filler,This pizza has mushrooms on it.,
719,condition1,0.86,frank,,think,low_prob,Frank is allergic to cats,0.16965034965035,speaker_first,,17628,7,0.13,,think_pos,Critical,"<font color=""red"">Nicholas</font> thinks that Frank got a cat.",
719,condition1,0.86,zoe,,think,high_prob,Zoe is a math major,0.745971223021583,speaker_first,,11815,8,0.34,,think_neg,Critical,"<font color=""red"">Jacob</font> thinks that Zoe didn't calculate the tip.",
719,condition1,,sophia,,Polar,low_prob,Sophia is a high end fashion model,0.415413533834586,speaker_first,,9541,9,1,,bare_neg,Critical,Sophia didn't get a tattoo.,
719,condition1,1,owen,,know,low_prob,Owen lives in New Orleans,0.279503546099291,speaker_first,,16504,10,1,,know_neg,Critical,"<font color=""red"">Stephanie</font> knows that Owen didn't shovel snow last winter.",
719,condition1,0.92,isabella,,think,low_prob,Isabella is a vegetarian,0.125813953488372,speaker_first,,12368,11,0.53,,think_neg,Critical,"<font color=""red"">Gary</font> thinks that Isabella didn't eat a steak on Sunday.",
719,condition1,,mary,,Polar,low_prob,Mary is a middle school student,0.225401459854015,speaker_first,,18019,12,1,,bare_pos,Critical,Mary is pregnant.,
719,condition1,1,julian,,inform,high_prob,Julian is Cuban,0.599493670886076,speaker_first,,19595,13,0.88,,inform_pos,Control,"<font color=""red"">Ronald</font> informed Sam that Julian dances salsa.",
719,condition1,1,jon,,say,high_prob,Jon lives 2 blocks away from work,0.7559375,speaker_first,,9571,14,0.73,,say_pos,Control,"<font color=""red"">Melissa</font> said that Jon walks to work.",
719,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,speaker_first,,7254,15,1,,MC,Filler,Carl's kids were in the garage.,
719,condition1,,hat,,MC,neutral,Hats are worn on the head,0,speaker_first,,4924,16,1,,MC,Filler,Samantha has a new hat.,
719,condition1,,emma,,Polar,high_prob,Emma is in law school,0.680763888888889,speaker_first,,4660,17,1,,bare_pos,Critical,Emma studied on Saturday morning.,
719,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,speaker_first,,4315,18,1,,MC,Filler,These muffins have blueberries in them.,
719,condition1,0.94,danny,,think,high_prob,Danny loves cake,0.697062937062937,speaker_first,,16159,19,0.5,,think_pos,Critical,"<font color=""red"">Michelle</font> thinks that Danny ate the last cupcake.",
719,condition1,,charley,,Polar,high_prob,Charley lives in Mexico,0.804632352941177,speaker_first,,6181,20,1,,bare_neg,Critical,Charley doesn't speak Spanish.,
719,condition1,1,mia,,say,high_prob,Mia is a college student,0.579022556390977,speaker_first,,12626,21,0.5,,say_neg,Control,"<font color=""red"">Eric</font> said that Mia didn't drink 2 cocktails last night.",
719,condition1,1,olivia,,inform,low_prob,Olivia has two small children,0.210592105263158,speaker_first,,9851,22,0.85,,inform_neg,Control,"<font color=""red"">Shirley</font> informed Sam that Olivia doesn't sleep until noon.",
719,condition1,1,jayden,,know,high_prob,Jayden's car is in the shop,0.687794117647059,speaker_first,,9007,23,1,,know_neg,Critical,"<font color=""red"">Jonathan</font> knows that Jayden didn't rent a car.",
719,condition1,1,josh,,inform,high_prob,Josh is a 5-year old boy,0.544575163398693,speaker_first,,9106,24,0.93,,inform_neg,Control,"<font color=""red"">Carol</font> informed Sam that Josh didn't learn to ride a bike yesterday.",
719,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,speaker_first,,4439,25,1,,MC,Filler,Ann dances ballet.,
