item,content,prior_type,state,n,prop,state,prop,state,prop
Emily_L,Emily bought a car yesterday,factL,6,12,0.027522936,,,,
Emily_L,Emily bought a car yesterday,factL,7,3,0.006880734,,,,
Emily_L,Emily bought a car yesterday,factL,8,4,0.009174312,,,,
Emily_L,Emily bought a car yesterday,factL,9,3,0.006880734,,,,
Emily_L,Emily bought a car yesterday,factL,10,2,0.004587156,,,,
,,,,436,,,,,
Emma_H,Emma studied on Saturday morning,factH,1,0,0,doesnt_dance,0.046189376,doesnt_dance,0.016166282
Emma_H,Emma studied on Saturday morning,factH,2,4,0.009237875,null,0.205542725,null,0.23556582
Emma_H,Emma studied on Saturday morning,factH,3,3,0.006928406,dances,0.748267898,dances,0.748267898
Emma_H,Emma studied on Saturday morning,factH,4,13,0.030023095,,,,
Emma_H,Emma studied on Saturday morning,factH,5,19,0.043879908,,,,
Emma_H,Emma studied on Saturday morning,factH,6,70,0.161662818,,,,
Emma_H,Emma studied on Saturday morning,factH,7,87,0.200923788,,,,
Emma_H,Emma studied on Saturday morning,factH,8,92,0.212471132,,,,
Emma_H,Emma studied on Saturday morning,factH,9,84,0.193995381,,,,
Emma_H,Emma studied on Saturday morning,factH,10,61,0.140877598,,,,
,,,,433,,,,,
Emma_L,Emma studied on Saturday morning,factL,1,110,0.25404157,doesnt_dance,0.722863741,doesnt_dance,0.618937644
Emma_L,Emma studied on Saturday morning,factL,2,96,0.221709007,null,0.163972286,null,0.267898383
Emma_L,Emma studied on Saturday morning,factL,3,62,0.143187067,dances,0.113163972,dances,0.113163972
Emma_L,Emma studied on Saturday morning,factL,4,45,0.103926097,,,,
Emma_L,Emma studied on Saturday morning,factL,5,31,0.071593533,,,,
Emma_L,Emma studied on Saturday morning,factL,6,40,0.092378753,,,,
Emma_L,Emma studied on Saturday morning,factL,7,25,0.057736721,,,,
Emma_L,Emma studied on Saturday morning,factL,8,12,0.027713626,,,,
Emma_L,Emma studied on Saturday morning,factL,9,4,0.009237875,,,,
Emma_L,Emma studied on Saturday morning,factL,10,8,0.018475751,,,,
,,,,433,,,,,
Frank_H,Frank got a cat,factH,1,1,0.002267574,doesnt_dance,0.047619048,doesnt_dance,0.024943311
Frank_H,Frank got a cat,factH,2,3,0.006802721,null,0.35600907,null,0.378684807
Frank_H,Frank got a cat,factH,3,7,0.015873016,dances,0.596371882,dances,0.596371882
Frank_H,Frank got a cat,factH,4,10,0.022675737,,,,
Frank_H,Frank got a cat,factH,5,47,0.106575964,,,,
Frank_H,Frank got a cat,factH,6,110,0.249433107,,,,
Frank_H,Frank got a cat,factH,7,82,0.185941043,,,,
Frank_H,Frank got a cat,factH,8,75,0.170068027,,,,
Frank_H,Frank got a cat,factH,9,62,0.140589569,,,,
Frank_H,Frank got a cat,factH,10,44,0.099773243,,,,
,,,,441,,,,,
Frank_L,Frank got a cat,factL,1,262,0.616470588,doesnt_dance,0.924705882,doesnt_dance,0.898823529
Frank_L,Frank got a cat,factL,2,86,0.202352941,null,0.028235294,null,0.054117647
Frank_L,Frank got a cat,factL,3,34,0.08,dances,0.047058824,dances,0.047058824
Frank_L,Frank got a cat,factL,4,11,0.025882353,,,,
Frank_L,Frank got a cat,factL,5,9,0.021176471,,,,
Frank_L,Frank got a cat,factL,6,3,0.007058824,,,,
Frank_L,Frank got a cat,factL,7,3,0.007058824,,,,
Frank_L,Frank got a cat,factL,8,6,0.014117647,,,,
Frank_L,Frank got a cat,factL,9,7,0.016470588,,,,
Frank_L,Frank got a cat,factL,10,4,0.009411765,,,,
,,,,425,,,,,
Grace_H,Grace visited her sister,factH,1,0,0,doesnt_dance,0.021978022,doesnt_dance,0.013186813
Grace_H,Grace visited her sister,factH,2,2,0.004395604,null,0.087912088,null,0.096703297
Grace_H,Grace visited her sister,factH,3,4,0.008791209,dances,0.89010989,dances,0.89010989
Grace_H,Grace visited her sister,factH,4,4,0.008791209,,,,
Grace_H,Grace visited her sister,factH,5,8,0.017582418,,,,
Grace_H,Grace visited her sister,factH,6,32,0.07032967,,,,
Grace_H,Grace visited her sister,factH,7,50,0.10989011,,,,
Grace_H,Grace visited her sister,factH,8,93,0.204395604,,,,
Grace_H,Grace visited her sister,factH,9,110,0.241758242,,,,
Grace_H,Grace visited her sister,factH,10,152,0.334065934,,,,
,,,,455,,,,,
Grace_L,Grace visited her sister,factL,1,117,0.284671533,doesnt_dance,0.829683698,doesnt_dance,0.734793187
Grace_L,Grace visited her sister,factL,2,100,0.243309002,null,0.085158151,null,0.180048662
Grace_L,Grace visited her sister,factL,3,85,0.206812652,dances,0.085158151,dances,0.085158151
Grace_L,Grace visited her sister,factL,4,39,0.094890511,,,,
Grace_L,Grace visited her sister,factL,5,24,0.058394161,,,,
Grace_L,Grace visited her sister,factL,6,11,0.02676399,,,,
Grace_L,Grace visited her sister,factL,7,17,0.04136253,,,,
Grace_L,Grace visited her sister,factL,8,11,0.02676399,,,,
Grace_L,Grace visited her sister,factL,9,4,0.00973236,,,,
Grace_L,Grace visited her sister,factL,10,3,0.00729927,,,,
,,,,411,,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,1,5,0.011415525,doesnt_dance,0.180365297,doesnt_dance,0.111872146
Isabella_H,Isabella ate a steak on Sunday,factH,2,21,0.047945205,null,0.625570776,null,0.694063927
Isabella_H,Isabella ate a steak on Sunday,factH,3,23,0.052511416,dances,0.194063927,dances,0.194063927
Isabella_H,Isabella ate a steak on Sunday,factH,4,30,0.068493151,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,5,105,0.239726027,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,6,169,0.385844749,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,7,38,0.086757991,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,8,23,0.052511416,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,9,16,0.03652968,,,,
Isabella_H,Isabella ate a steak on Sunday,factH,10,8,0.01826484,,,,
,,,,438,,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,1,326,0.761682243,doesnt_dance,0.929906542,doesnt_dance,0.913551402
Isabella_L,Isabella ate a steak on Sunday,factL,2,44,0.102803738,null,0.03271028,null,0.049065421
Isabella_L,Isabella ate a steak on Sunday,factL,3,21,0.049065421,dances,0.037383178,dances,0.037383178
Isabella_L,Isabella ate a steak on Sunday,factL,4,7,0.01635514,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,5,8,0.018691589,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,6,6,0.014018692,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,7,5,0.011682243,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,8,3,0.007009346,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,9,3,0.007009346,,,,
Isabella_L,Isabella ate a steak on Sunday,factL,10,5,0.011682243,,,,
,,,,428,,,,,
Jackson_H,Jackson ran 10 miles,factH,1,2,0.004889976,doesnt_dance,0.036674817,doesnt_dance,0.014669927
Jackson_H,Jackson ran 10 miles,factH,2,1,0.002444988,null,0.083129584,null,0.105134474
Jackson_H,Jackson ran 10 miles,factH,3,3,0.007334963,dances,0.880195599,dances,0.880195599
Jackson_H,Jackson ran 10 miles,factH,4,9,0.02200489,,,,
Jackson_H,Jackson ran 10 miles,factH,5,5,0.012224939,,,,
Jackson_H,Jackson ran 10 miles,factH,6,29,0.070904645,,,,
Jackson_H,Jackson ran 10 miles,factH,7,51,0.124694377,,,,
Jackson_H,Jackson ran 10 miles,factH,8,77,0.188264059,,,,
Jackson_H,Jackson ran 10 miles,factH,9,98,0.239608802,,,,
Jackson_H,Jackson ran 10 miles,factH,10,134,0.327628362,,,,
,,,,409,,,,,
Jackson_L,Jackson ran 10 miles,factL,1,222,0.485776805,doesnt_dance,0.916849015,doesnt_dance,0.864332604
Jackson_L,Jackson ran 10 miles,factL,2,110,0.240700219,null,0.043763676,null,0.096280088
Jackson_L,Jackson ran 10 miles,factL,3,63,0.13785558,dances,0.039387309,dances,0.039387309
Jackson_L,Jackson ran 10 miles,factL,4,24,0.052516411,,,,
Jackson_L,Jackson ran 10 miles,factL,5,11,0.024070022,,,,
Jackson_L,Jackson ran 10 miles,factL,6,9,0.019693654,,,,
Jackson_L,Jackson ran 10 miles,factL,7,8,0.01750547,,,,
Jackson_L,Jackson ran 10 miles,factL,8,7,0.015317287,,,,
Jackson_L,Jackson ran 10 miles,factL,9,3,0.006564551,,,,
Jackson_L,Jackson ran 10 miles,factL,10,0,0,,,,
,,,,457,,,,,
Jayden_H,Jayden rented a car,factH,1,7,0.01627907,doesnt_dance,0.081395349,doesnt_dance,0.053488372
Jayden_H,Jayden rented a car,factH,2,9,0.020930233,null,0.258139535,null,0.286046512
Jayden_H,Jayden rented a car,factH,3,7,0.01627907,dances,0.660465116,dances,0.660465116
Jayden_H,Jayden rented a car,factH,4,12,0.027906977,,,,
Jayden_H,Jayden rented a car,factH,5,38,0.088372093,,,,
Jayden_H,Jayden rented a car,factH,6,73,0.169767442,,,,
Jayden_H,Jayden rented a car,factH,7,84,0.195348837,,,,
Jayden_H,Jayden rented a car,factH,8,86,0.2,,,,
Jayden_H,Jayden rented a car,factH,9,67,0.155813953,,,,
Jayden_H,Jayden rented a car,factH,10,47,0.109302326,,,,
,,,,430,,,,,
Jayden_L,Jayden rented a car,factL,1,321,0.736238532,doesnt_dance,0.876146789,doesnt_dance,0.848623853
Jayden_L,Jayden rented a car,factL,2,36,0.082568807,null,0.052752294,null,0.080275229
Jayden_L,Jayden rented a car,factL,3,13,0.029816514,dances,0.071100917,dances,0.071100917
Jayden_L,Jayden rented a car,factL,4,12,0.027522936,,,,
Jayden_L,Jayden rented a car,factL,5,12,0.027522936,,,,
Jayden_L,Jayden rented a car,factL,6,11,0.025229358,,,,
Jayden_L,Jayden rented a car,factL,7,13,0.029816514,,,,
Jayden_L,Jayden rented a car,factL,8,7,0.016055046,,,,
Jayden_L,Jayden rented a car,factL,9,5,0.01146789,,,,
Jayden_L,Jayden rented a car,factL,10,6,0.013761468,,,,
,,,,436,,,,,
Jon_H,Jon walks to work,factH,1,3,0.007194245,doesnt_dance,0.038369305,doesnt_dance,0.019184652
Jon_H,Jon walks to work,factH,2,1,0.002398082,null,0.091127098,null,0.110311751
Jon_H,Jon walks to work,factH,3,4,0.009592326,dances,0.870503597,dances,0.870503597
Jon_H,Jon walks to work,factH,4,8,0.019184652,,,,
Jon_H,Jon walks to work,factH,5,12,0.028776978,,,,
Jon_H,Jon walks to work,factH,6,26,0.06235012,,,,
Jon_H,Jon walks to work,factH,7,53,0.127098321,,,,
Jon_H,Jon walks to work,factH,8,93,0.223021583,,,,
Jon_H,Jon walks to work,factH,9,107,0.256594724,,,,
Jon_H,Jon walks to work,factH,10,110,0.263788969,,,,
,,,,417,,,,,
Jon_L,Jon walks to work,factL,1,192,0.427616927,doesnt_dance,0.873051225,doesnt_dance,0.832962138
Jon_L,Jon walks to work,factL,2,111,0.247216036,null,0.057906459,null,0.097995546
Jon_L,Jon walks to work,factL,3,71,0.158129176,dances,0.069042316,dances,0.069042316
Jon_L,Jon walks to work,factL,4,18,0.040089087,,,,
Jon_L,Jon walks to work,factL,5,15,0.033407572,,,,
Jon_L,Jon walks to work,factL,6,11,0.024498886,,,,
Jon_L,Jon walks to work,factL,7,10,0.022271715,,,,
Jon_L,Jon walks to work,factL,8,11,0.024498886,,,,
Jon_L,Jon walks to work,factL,9,6,0.013363029,,,,
Jon_L,Jon walks to work,factL,10,4,0.008908686,,,,
,,,,449,,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,1,24,0.053932584,doesnt_dance,0.217977528,doesnt_dance,0.137078652
Josh_H,Josh learned to ride a bike yesterday,factH,2,18,0.040449438,null,0.406741573,null,0.487640449
Josh_H,Josh learned to ride a bike yesterday,factH,3,19,0.042696629,dances,0.375280899,dances,0.375280899
Josh_H,Josh learned to ride a bike yesterday,factH,4,36,0.080898876,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,5,53,0.119101124,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,6,128,0.287640449,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,7,71,0.159550562,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,8,54,0.121348315,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,9,28,0.062921348,,,,
Josh_H,Josh learned to ride a bike yesterday,factH,10,14,0.031460674,,,,
,,,,445,,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,1,149,0.35391924,doesnt_dance,0.836104513,doesnt_dance,0.741092637
Josh_L,Josh learned to ride a bike yesterday,factL,2,96,0.228028504,null,0.106888361,null,0.201900238
Josh_L,Josh learned to ride a bike yesterday,factL,3,67,0.159144893,dances,0.057007126,dances,0.057007126
Josh_L,Josh learned to ride a bike yesterday,factL,4,40,0.095011876,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,5,25,0.059382423,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,6,20,0.047505938,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,7,10,0.023752969,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,8,8,0.019002375,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,9,2,0.004750594,,,,
Josh_L,Josh learned to ride a bike yesterday,factL,10,4,0.009501188,,,,
,,,,421,,,,,
Josie_H,Josie went on vacation to France,factH,1,3,0.006622517,doesnt_dance,0.033112583,doesnt_dance,0.01986755
Josie_H,Josie went on vacation to France,factH,2,4,0.008830022,null,0.185430464,null,0.198675497
Josie_H,Josie went on vacation to France,factH,3,2,0.004415011,dances,0.781456954,dances,0.781456954
Josie_H,Josie went on vacation to France,factH,4,6,0.013245033,,,,
Josie_H,Josie went on vacation to France,factH,5,35,0.077262693,,,,
Josie_H,Josie went on vacation to France,factH,6,49,0.10816777,,,,
Josie_H,Josie went on vacation to France,factH,7,81,0.178807947,,,,
Josie_H,Josie went on vacation to France,factH,8,99,0.218543046,,,,
Josie_H,Josie went on vacation to France,factH,9,88,0.194260486,,,,
Josie_H,Josie went on vacation to France,factH,10,86,0.189845475,,,,
,,,,453,,,,,
Josie_L,Josie went on vacation to France,factL,1,314,0.760290557,doesnt_dance,0.91283293,doesnt_dance,0.891041162
Josie_L,Josie went on vacation to France,factL,2,41,0.099273608,null,0.050847458,null,0.072639225
Josie_L,Josie went on vacation to France,factL,3,13,0.031476998,dances,0.036319613,dances,0.036319613
Josie_L,Josie went on vacation to France,factL,4,9,0.021791768,,,,
Josie_L,Josie went on vacation to France,factL,5,12,0.02905569,,,,
Josie_L,Josie went on vacation to France,factL,6,9,0.021791768,,,,
Josie_L,Josie went on vacation to France,factL,7,4,0.00968523,,,,
Josie_L,Josie went on vacation to France,factL,8,6,0.014527845,,,,
Josie_L,Josie went on vacation to France,factL,9,2,0.004842615,,,,
Josie_L,Josie went on vacation to France,factL,10,3,0.007263923,,,,
,,,,413,,,,,
Julian_H,Julian dances salsa,factH,1,0,0,doesnt_dance,0.10046729,doesnt_dance,0.051401869
Julian_H,Julian dances salsa,factH,2,9,0.021028037,null,0.432242991,null,0.481308411
Julian_H,Julian dances salsa,factH,3,13,0.030373832,dances,0.46728972,dances,0.46728972
Julian_H,Julian dances salsa,factH,4,21,0.049065421,,,,
Julian_H,Julian dances salsa,factH,5,67,0.156542056,,,,
Julian_H,Julian dances salsa,factH,6,118,0.275700935,,,,
Julian_H,Julian dances salsa,factH,7,72,0.168224299,,,,
Julian_H,Julian dances salsa,factH,8,67,0.156542056,,,,
Julian_H,Julian dances salsa,factH,9,32,0.074766355,,,,
Julian_H,Julian dances salsa,factH,10,29,0.067757009,,,,
,,,,428,,,,,
Julian_L,Julian dances salsa,factL,1,39,0.089041096,doesnt_dance,0.625570776,doesnt_dance,0.422374429
Julian_L,Julian dances salsa,factL,2,62,0.141552511,null,0.308219178,null,0.511415525
Julian_L,Julian dances salsa,factL,3,84,0.191780822,dances,0.066210046,dances,0.066210046
Julian_L,Julian dances salsa,factL,4,89,0.203196347,,,,
Julian_L,Julian dances salsa,factL,5,76,0.173515982,,,,
Julian_L,Julian dances salsa,factL,6,59,0.134703196,,,,
Julian_L,Julian dances salsa,factL,7,6,0.01369863,,,,
Julian_L,Julian dances salsa,factL,8,12,0.02739726,,,,
Julian_L,Julian dances salsa,factL,9,6,0.01369863,,,,
Julian_L,Julian dances salsa,factL,10,5,0.011415525,,,,
,,,,438,,,,,
Mary_H,Mary is pregnant,factH,1,11,0.025522042,doesnt_dance,0.055684455,doesnt_dance,0.039443155
Mary_H,Mary is pregnant,factH,2,2,0.004640371,null,0.044083527,null,0.060324826
Mary_H,Mary is pregnant,factH,3,4,0.009280742,dances,0.900232019,dances,0.900232019
Mary_H,Mary is pregnant,factH,4,7,0.016241299,,,,
Mary_H,Mary is pregnant,factH,5,8,0.018561485,,,,
Mary_H,Mary is pregnant,factH,6,11,0.025522042,,,,
Mary_H,Mary is pregnant,factH,7,14,0.032482599,,,,
Mary_H,Mary is pregnant,factH,8,41,0.09512761,,,,
Mary_H,Mary is pregnant,factH,9,85,0.197215777,,,,
Mary_H,Mary is pregnant,factH,10,248,0.575406032,,,,
,,,,431,,,,,
Mary_L,Mary is pregnant,factL,1,207,0.475862069,doesnt_dance,0.887356322,doesnt_dance,0.813793103
Mary_L,Mary is pregnant,factL,2,94,0.216091954,null,0.062068966,null,0.135632184
Mary_L,Mary is pregnant,factL,3,53,0.12183908,dances,0.050574713,dances,0.050574713
Mary_L,Mary is pregnant,factL,4,32,0.073563218,,,,
Mary_L,Mary is pregnant,factL,5,16,0.036781609,,,,
Mary_L,Mary is pregnant,factL,6,11,0.025287356,,,,
Mary_L,Mary is pregnant,factL,7,7,0.016091954,,,,
Mary_L,Mary is pregnant,factL,8,7,0.016091954,,,,
Mary_L,Mary is pregnant,factL,9,5,0.011494253,,,,
Mary_L,Mary is pregnant,factL,10,3,0.006896552,,,,
,,,,435,,,,,
Mia_H,Mia drank 2 cocktails last night,factH,1,7,0.016431925,doesnt_dance,0.171361502,doesnt_dance,0.098591549
Mia_H,Mia drank 2 cocktails last night,factH,2,11,0.025821596,null,0.462441315,null,0.535211268
Mia_H,Mia drank 2 cocktails last night,factH,3,24,0.056338028,dances,0.366197183,dances,0.366197183
Mia_H,Mia drank 2 cocktails last night,factH,4,31,0.072769953,,,,
Mia_H,Mia drank 2 cocktails last night,factH,5,69,0.161971831,,,,
Mia_H,Mia drank 2 cocktails last night,factH,6,128,0.300469484,,,,
Mia_H,Mia drank 2 cocktails last night,factH,7,69,0.161971831,,,,
Mia_H,Mia drank 2 cocktails last night,factH,8,49,0.115023474,,,,
Mia_H,Mia drank 2 cocktails last night,factH,9,24,0.056338028,,,,
Mia_H,Mia drank 2 cocktails last night,factH,10,14,0.03286385,,,,
,,,,426,,,,,
Mia_L,Mia drank 2 cocktails last night,factL,1,237,0.538636364,doesnt_dance,0.847727273,doesnt_dance,0.790909091
Mia_L,Mia drank 2 cocktails last night,factL,2,71,0.161363636,null,0.095454545,null,0.152272727
Mia_L,Mia drank 2 cocktails last night,factL,3,40,0.090909091,dances,0.056818182,dances,0.056818182
Mia_L,Mia drank 2 cocktails last night,factL,4,25,0.056818182,,,,
Mia_L,Mia drank 2 cocktails last night,factL,5,19,0.043181818,,,,
Mia_L,Mia drank 2 cocktails last night,factL,6,23,0.052272727,,,,
Mia_L,Mia drank 2 cocktails last night,factL,7,8,0.018181818,,,,
Mia_L,Mia drank 2 cocktails last night,factL,8,10,0.022727273,,,,
Mia_L,Mia drank 2 cocktails last night,factL,9,5,0.011363636,,,,
Mia_L,Mia drank 2 cocktails last night,factL,10,2,0.004545455,,,,
,,,,440,,,,,
Olivia_H,Olivia sleeps until noon,factH,1,14,0.032634033,doesnt_dance,0.097902098,doesnt_dance,0.06993007
Olivia_H,Olivia sleeps until noon,factH,2,3,0.006993007,null,0.111888112,null,0.13986014
Olivia_H,Olivia sleeps until noon,factH,3,13,0.03030303,dances,0.79020979,dances,0.79020979
Olivia_H,Olivia sleeps until noon,factH,4,12,0.027972028,,,,
Olivia_H,Olivia sleeps until noon,factH,5,17,0.03962704,,,,
Olivia_H,Olivia sleeps until noon,factH,6,31,0.072261072,,,,
Olivia_H,Olivia sleeps until noon,factH,7,74,0.172494172,,,,
Olivia_H,Olivia sleeps until noon,factH,8,110,0.256410256,,,,
Olivia_H,Olivia sleeps until noon,factH,9,85,0.198135198,,,,
Olivia_H,Olivia sleeps until noon,factH,10,70,0.163170163,,,,
,,,,429,,,,,
Olivia_L,Olivia sleeps until noon,factL,1,223,0.510297483,doesnt_dance,0.874141876,doesnt_dance,0.835240275
Olivia_L,Olivia sleeps until noon,factL,2,102,0.233409611,null,0.061784897,null,0.100686499
Olivia_L,Olivia sleeps until noon,factL,3,40,0.091533181,dances,0.064073227,dances,0.064073227
Olivia_L,Olivia sleeps until noon,factL,4,17,0.038901602,,,,
Olivia_L,Olivia sleeps until noon,factL,5,14,0.032036613,,,,
Olivia_L,Olivia sleeps until noon,factL,6,13,0.029748284,,,,
Olivia_L,Olivia sleeps until noon,factL,7,4,0.009153318,,,,
Olivia_L,Olivia sleeps until noon,factL,8,12,0.027459954,,,,
Olivia_L,Olivia sleeps until noon,factL,9,9,0.020594966,,,,
Olivia_L,Olivia sleeps until noon,factL,10,3,0.006864989,,,,
,,,,437,,,,,
Owen_H,Owen shoveled snow last winter,factH,1,3,0.006772009,doesnt_dance,0.036117381,doesnt_dance,0.013544018
Owen_H,Owen shoveled snow last winter,factH,2,2,0.004514673,null,0.126410835,null,0.148984199
Owen_H,Owen shoveled snow last winter,factH,3,1,0.002257336,dances,0.837471783,dances,0.837471783
Owen_H,Owen shoveled snow last winter,factH,4,10,0.022573363,,,,
Owen_H,Owen shoveled snow last winter,factH,5,10,0.022573363,,,,
Owen_H,Owen shoveled snow last winter,factH,6,46,0.103837472,,,,
Owen_H,Owen shoveled snow last winter,factH,7,45,0.101580135,,,,
Owen_H,Owen shoveled snow last winter,factH,8,84,0.189616253,,,,
Owen_H,Owen shoveled snow last winter,factH,9,97,0.218961625,,,,
Owen_H,Owen shoveled snow last winter,factH,10,145,0.32731377,,,,
,,,,443,,,,,
Owen_L,Owen shoveled snow last winter,factL,1,169,0.399527187,doesnt_dance,0.806146572,doesnt_dance,0.742316785
Owen_L,Owen shoveled snow last winter,factL,2,92,0.21749409,null,0.094562648,null,0.158392435
Owen_L,Owen shoveled snow last winter,factL,3,53,0.125295508,dances,0.09929078,dances,0.09929078
Owen_L,Owen shoveled snow last winter,factL,4,27,0.063829787,,,,
Owen_L,Owen shoveled snow last winter,factL,5,18,0.042553191,,,,
Owen_L,Owen shoveled snow last winter,factL,6,22,0.052009456,,,,
Owen_L,Owen shoveled snow last winter,factL,7,13,0.030732861,,,,
Owen_L,Owen shoveled snow last winter,factL,8,6,0.014184397,,,,
Owen_L,Owen shoveled snow last winter,factL,9,15,0.035460993,,,,
Owen_L,Owen shoveled snow last winter,factL,10,8,0.01891253,,,,
,,,,423,,,,,
Sophia_H,Sophia got a tattoo,factH,1,5,0.011389522,doesnt_dance,0.077448747,doesnt_dance,0.045558087
Sophia_H,Sophia got a tattoo,factH,2,4,0.009111617,null,0.350797267,null,0.382687927
