workerid,proliferate.condition,belief_response,certainty_question,certainty_response,content,object,prior,prior_fact,response,rt,slide_number_in_experiment,trigger,trigger_class,utterance,error
46,condition1,0.55,How certain is Jonathan that Carl's kids were in the garage?,0.69,garage,,0,Garages are used to store cars and other things,,13144,20,MC,Control,,
46,condition1,1,How certain is Eric that Zoe calculated the tip?,0.97,zoe,,0.745971223021583,Zoe is a math major,,12879,21,inform_pos,Critical,,
72,condition1,,,,,Sarah,,,Sarah,0,1,,,bot_check,
72,condition1,0.01,How certain is Tyler that Josie went on vacation to France?,0.98,josie,,0.26656050955414,Josie loves France,,18884,4,think_neg,Critical,,
72,condition1,0.5,How certain is Jerry that Samantha doesn't have a new hat?,0.48,hat,,0,Hats are worn on the head,,9834,5,MC,Control,,
72,condition1,0.78,How certain is George that Grace didn't visit her sister?,0.83,grace,,0.209855072463768,Grace loves her sister,,20528,6,inform_neg,Critical,,
72,condition1,0.49,How certain is Nancy that Zoe didn't calculate the tip?,0.46,zoe,,0.745971223021583,Zoe is a math major,,7607,7,simple_polar,Critical,,
72,condition1,0.8,How certain is Gregory that Jackson ran 10 miles?,0.79,jackson,,0.774965034965035,Jackson is training for a marathon,,8385,8,inform_pos,Critical,,
72,condition1,0.75,How certain is Karen that Jon walks to work?,0.77,jon,,0.7559375,Jon lives 2 blocks away from work,,9533,9,say_pos,Critical,,
72,condition1,0.99,How certain is Nicole that Owen didn't shovel snow last winter?,0.99,owen,,0.25351724137931,Owen lives in Chicago,,24836,10,know_neg,Critical,,
72,condition1,0.51,How certain is Angela that Tony had a drink last night?,0.47,tony,,0.747279411764706,Tony really likes to party with his friends,,7475,11,simple_polar,Critical,,
72,condition1,0.49,How certain is Deborah that Carl's kids weren't in the garage?,0.47,garage,,0,Garages are used to store cars and other things,,10014,12,MC,Control,,
72,condition1,0.5,How certain is Kenneth that Frank got a cat?,0.47,frank,,0.32027972027971996,Frank has always wanted a pet,,6378,13,say_neg,Critical,,
72,condition1,0.99,How certain is Matthew that Jayden rented a car?,0.98,jayden,,0.687794117647059,Jayden's car is in the shop,,9457,14,know_pos,Critical,,
72,condition1,0.5,How certain is Ashley that this pizza doesn't have mushrooms on it?,0.48,pizza,,0,Pizza is sold at the pizzeria,,4852,15,MC,Control,,
72,condition1,0.51,How certain is Alexander that Danny ate the last cupcake?,0.47,danny,,0.697062937062937,Danny loves cake,,4834,16,think_pos,Critical,,
72,condition1,0.46,How certain is Virginia that Ann doesn't dance ballet?,0.45,ballet,,0,Ballet is a type of dance,,7583,17,MC,Control,,
72,condition1,0.19,How certain is Jason that Mary is pregnant?,0.49,mary,,0.18483221476510103,Mary is taking a prenatal yoga class,,26126,18,confirm_neg,Critical,,
72,condition1,0.5,How certain is Julie that these muffins don't have blueberries in them?,0.47,muffins,,0,Muffins are sold at the bakery,,12774,19,MC,Control,,
72,condition1,0.51,How certain is Amy that Jack was playing outside with the kids?,0.47,kids,,0,Many children like ice cream,,9475,20,MC,Control,,
72,condition1,0.51,How certain is Emily that Charley speaks Spanish?,0.46,charley,,0.804632352941177,Charley lives in Mexico,,15223,21,confirm_pos,Critical,,
31,condition1,,,,,Susan,,,Susan,0,1,,,bot_check,
31,condition1,0.4,How certain is Michelle that Owen shoveled snow last winter?,0.35,owen,,0.25351724137931,Owen lives in Chicago,,32722,4,confirm_neg,Critical,,
31,condition1,0.65,How certain is Stephanie that Frank got a cat?,0.64,frank,,0.67972027972028,Frank has always wanted a pet,,17254,5,simple_polar,Critical,,
31,condition1,0.66,How certain is Dennis that Samantha has a new hat?,0.39,hat,,0,Hats are worn on the head,,15232,6,MC,Control,,
31,condition1,0.93,How certain is Jerry that Charley speaks Spanish?,0.93,charley,,0.804632352941177,Charley lives in Mexico,,14770,7,know_pos,Critical,,
31,condition1,0.4,How certain is Cynthia that Zoe didn't calculate the tip?,0.55,zoe,,0.745971223021583,Zoe is a math major,,21755,8,think_pos,Critical,,
31,condition1,0.74,How certain is Matthew that Tony had a drink last night?,0.55,tony,,0.747279411764706,Tony really likes to party with his friends,,12799,9,confirm_pos,Critical,,
31,condition1,0.55,How certain is Lisa that Jack was playing outside with the kids?,0.4,kids,,0,Many children like ice cream,,19233,10,MC,Control,,
31,condition1,0.52,How certain is Gregory that Carl's kids were in the garage?,0.3,garage,,0,Garages are used to store cars and other things,,9187,11,MC,Control,,
31,condition1,0.19,How certain is Timothy that Jon walks to work?,0.68,jon,,0.24406249999999996,Jon lives 2 blocks away from work,,17782,12,think_neg,Critical,,
31,condition1,0.93,How certain is Laura that Grace visited her sister?,0.96,grace,,0.790144927536232,Grace loves her sister,,9519,13,inform_pos,Critical,,
31,condition1,0.71,How certain is Julie that this pizza has mushrooms on it?,0.5,pizza,,0,Pizza is sold at the pizzeria,,14933,14,MC,Control,,
31,condition1,0.65,How certain is Ronald that these muffins have blueberries in them?,0.29,muffins,,0,Muffins are sold at the bakery,,15432,15,MC,Control,,
31,condition1,0.48,How certain is Justin that Danny didn't eat the last cupcake?,0.36,danny,,0.697062937062937,Danny loves cake,,13166,16,say_pos,Critical,,
31,condition1,0.67,How certain is Heather that Jayden rented a car?,0.46,jayden,,0.687794117647059,Jayden's car is in the shop,,21515,17,simple_polar,Critical,,
31,condition1,0.97,How certain is Christopher that Josie didn't go on vacation to France?,0.94,josie,,0.26656050955414,Josie loves France,,16491,18,inform_neg,Critical,,
31,condition1,0.33,How certain is Amanda that Jackson ran 10 miles?,0.59,jackson,,0.225034965034965,Jackson is training for a marathon,,12587,19,say_neg,Critical,,
31,condition1,0.93,How certain is Jeffrey that Mary isn't pregnant?,0.98,mary,,0.18483221476510103,Mary is taking a prenatal yoga class,,10984,20,know_neg,Critical,,
31,condition1,0.47,How certain is Deborah that Ann doesn't dance ballet?,0.12,ballet,,0,Ballet is a type of dance,,13706,21,MC,Control,,
37,condition1,,,,,Mary,,,Mary,0,1,,,bot_check,
37,condition1,0.51,How certain is Gregory that these muffins have blueberries in them?,0.55,muffins,,0,Muffins are sold at the bakery,,44586,4,MC,Control,,
37,condition1,0.2,How certain is Ryan that Owen didn't shovel snow last winter?,0.9,owen,,0.74648275862069,Owen lives in Chicago,,36806,5,think_pos,Critical,,
37,condition1,0.72,How certain is Alexander that Frank got a cat?,0.41,frank,,0.67972027972028,Frank has always wanted a pet,,16980,6,confirm_pos,Critical,,
37,condition1,0.58,How certain is Benjamin that Tony had a drink last night?,0.45,tony,,0.747279411764706,Tony really likes to party with his friends,,27573,7,simple_polar,Critical,,
37,condition1,0.68,How certain is Kimberly that Josie didn't go on vacation to France?,0.46,josie,,0.26656050955414,Josie loves France,,29424,8,say_neg,Critical,,
37,condition1,0.67,How certain is Kathleen that Carl's kids were in the garage?,0.44,garage,,0,Garages are used to store cars and other things,,20711,9,MC,Control,,
37,condition1,0.56,How certain is Paul that Jayden rented a car?,0.5,jayden,,0.687794117647059,Jayden's car is in the shop,,14477,10,say_pos,Critical,,
37,condition1,0.54,How certain is Nancy that Mary is pregnant?,0.53,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,22128,11,simple_polar,Critical,,
37,condition1,0.76,How certain is Laura that Jon doesn't walk to work?,0.78,jon,,0.24406249999999996,Jon lives 2 blocks away from work,,17000,12,think_neg,Critical,,
37,condition1,0.83,How certain is Rebecca that Samantha has a new hat?,0.86,hat,,0,Hats are worn on the head,,16684,13,MC,Control,,
37,condition1,0.58,How certain is Kevin that Jack was playing outside with the kids?,0.56,kids,,0,Many children like ice cream,,16967,14,MC,Control,,
37,condition1,0.73,How certain is Betty that this pizza has mushrooms on it?,0.51,pizza,,0,Pizza is sold at the pizzeria,,13926,15,MC,Control,,
37,condition1,0.82,How certain is Dennis that Grace visited her sister?,0.71,grace,,0.790144927536232,Grace loves her sister,,28040,16,inform_pos,Critical,,
37,condition1,0.59,How certain is Eric that Ann dances ballet?,0.57,ballet,,0,Ballet is a type of dance,,13910,17,MC,Control,,
37,condition1,0.88,How certain is Deborah that Charley doesn't speak Spanish?,0.7,charley,,0.19536764705882304,Charley lives in Mexico,,16750,18,confirm_neg,Critical,,
37,condition1,0.84,How certain is Dorothy that Danny didn't eat the last cupcake?,0.65,danny,,0.302937062937063,Danny loves cake,,15800,19,know_neg,Critical,,
37,condition1,0.95,How certain is Lisa that Zoe didn't calculate the tip?,0.95,zoe,,0.25402877697841697,Zoe is a math major,,21477,20,inform_neg,Critical,,
37,condition1,0.93,How certain is Nicholas that Jackson ran 10 miles?,0.93,jackson,,0.774965034965035,Jackson is training for a marathon,,15465,21,know_pos,Critical,,
57,condition1,,,,,Susan,,,Susan,0,1,,,bot_check,
57,condition1,1,How certain is George that Mary is pregnant?,1,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,44123,4,inform_pos,Critical,,
57,condition1,0.4,How certain is Rachel that Tony didn't have a drink last night?,0.22,tony,,0.747279411764706,Tony really likes to party with his friends,,22774,5,simple_polar,Critical,,
57,condition1,0.26,How certain is Virginia that Charley doesn't speak Spanish?,0.29,charley,,0.804632352941177,Charley lives in Mexico,,18638,6,confirm_pos,Critical,,
57,condition1,0.1,How certain is Dorothy that Ann doesn't dance ballet?,0,ballet,,0,Ballet is a type of dance,,19681,7,MC,Control,,
57,condition1,0.47,How certain is Edward that Jack wasn't playing outside with the kids?,0.14,kids,,0,Many children like ice cream,,19675,8,MC,Control,,
57,condition1,0.51,How certain is Betty that Zoe didn't calculate the tip?,0,zoe,,0.25402877697841697,Zoe is a math major,,25636,9,say_neg,Critical,,
57,condition1,0,How certain is Brian that Josie went on vacation to France?,1,josie,,0.26656050955414,Josie loves France,,19542,10,think_neg,Critical,,
57,condition1,1,How certain is Scott that Jackson didn't run 10 miles?,1,jackson,,0.225034965034965,Jackson is training for a marathon,,15541,11,know_neg,Critical,,
57,condition1,0.59,How certain is Michelle that Jayden rented a car?,0,jayden,,0.687794117647059,Jayden's car is in the shop,,17813,12,say_pos,Critical,,
57,condition1,1,How certain is Sandra that Grace didn't visit her sister?,1,grace,,0.209855072463768,Grace loves her sister,,18055,13,inform_neg,Critical,,
57,condition1,0.66,How certain is Jacob that Carl's kids were in the garage?,0,garage,,0,Garages are used to store cars and other things,,19626,14,MC,Control,,
57,condition1,0.72,How certain is Christopher that Owen didn't shovel snow last winter?,0.3,owen,,0.25351724137931,Owen lives in Chicago,,26268,15,confirm_neg,Critical,,
57,condition1,0.49,How certain is Stephanie that Danny didn't eat the last cupcake?,0.5,danny,,0.697062937062937,Danny loves cake,,23420,16,know_pos,Critical,,
57,condition1,0.79,How certain is Dennis that these muffins have blueberries in them?,0,muffins,,0,Muffins are sold at the bakery,,10771,17,MC,Control,,
57,condition1,0.74,How certain is Rebecca that this pizza has mushrooms on it?,0.16,pizza,,0,Pizza is sold at the pizzeria,,9980,18,MC,Control,,
57,condition1,0,How certain is Jason that Frank didn't get a cat?,1,frank,,0.67972027972028,Frank has always wanted a pet,,22939,19,think_pos,Critical,,
57,condition1,0.47,How certain is Joyce that Jon doesn't walk to work?,0,jon,,0.7559375,Jon lives 2 blocks away from work,,17287,20,simple_polar,Critical,,
57,condition1,0.63,How certain is Ashley that Samantha has a new hat?,0.13,hat,,0,Hats are worn on the head,,10819,21,MC,Control,,
23,condition1,,,,,Margaret,,,Margaret,0,1,,,bot_check,
23,condition1,0.97,How certain is Melissa that Owen didn't shovel snow last winter?,0.98,owen,,0.25351724137931,Owen lives in Chicago,,54710,4,know_neg,Critical,,
23,condition1,0.19,How certain is Kimberly that Samantha doesn't have a new hat?,0.2,hat,,0,Hats are worn on the head,,22875,5,MC,Control,,
23,condition1,0.12,How certain is Diane that these muffins don't have blueberries in them?,0.21,muffins,,0,Muffins are sold at the bakery,,15742,6,MC,Control,,
23,condition1,0.22,How certain is Eric that Jon doesn't walk to work?,0.13,jon,,0.7559375,Jon lives 2 blocks away from work,,12852,7,simple_polar,Critical,,
23,condition1,0.96,How certain is Ruth that Charley speaks Spanish?,0.93,charley,,0.804632352941177,Charley lives in Mexico,,45433,8,inform_pos,Critical,,
23,condition1,0.19,How certain is Lisa that Zoe didn't calculate the tip?,0.24,zoe,,0.745971223021583,Zoe is a math major,,14720,9,simple_polar,Critical,,
23,condition1,0.98,How certain is Edward that Jayden rented a car?,0.97,jayden,,0.687794117647059,Jayden's car is in the shop,,16475,10,know_pos,Critical,,
23,condition1,0.27,How certain is Dorothy that Carl's kids weren't in the garage?,0.28,garage,,0,Garages are used to store cars and other things,,22645,11,MC,Control,,
23,condition1,0.47,How certain is Nancy that Mary is pregnant?,0.5,mary,,0.18483221476510103,Mary is taking a prenatal yoga class,,44119,12,think_neg,Critical,,
23,condition1,0.46,How certain is Alexander that Tony had a drink last night?,0.46,tony,,0.252720588235294,Tony really likes to party with his friends,,21138,13,say_neg,Critical,,
23,condition1,0.26,How certain is Steven that Jack wasn't playing outside with the kids?,0.27,kids,,0,Many children like ice cream,,59222,14,MC,Control,,
23,condition1,0.87,How certain is Deborah that Jackson ran 10 miles?,0.76,jackson,,0.774965034965035,Jackson is training for a marathon,,12339,15,confirm_pos,Critical,,
23,condition1,0.2,How certain is Emily that Ann doesn't dance ballet?,0.21,ballet,,0,Ballet is a type of dance,,36934,16,MC,Control,,
23,condition1,0.29,How certain is Jennifer that Danny didn't eat the last cupcake?,0.19,danny,,0.697062937062937,Danny loves cake,,17353,17,say_pos,Critical,,
23,condition1,0.79,How certain is Jerry that Josie didn't go on vacation to France?,0.7,josie,,0.26656050955414,Josie loves France,,17533,18,confirm_neg,Critical,,
23,condition1,0.34,How certain is Benjamin that this pizza doesn't have mushrooms on it?,0.26,pizza,,0,Pizza is sold at the pizzeria,,11404,19,MC,Control,,
23,condition1,0.93,How certain is Carolyn that Grace didn't visit her sister?,0.91,grace,,0.209855072463768,Grace loves her sister,,19829,20,inform_neg,Critical,,
23,condition1,0.28,How certain is Kevin that Frank didn't get a cat?,0.22,frank,,0.67972027972028,Frank has always wanted a pet,,13070,21,think_pos,Critical,,
63,condition1,,,,,Elizabeth,,,Elizabeth,0,1,,,bot_check,
63,condition1,0.51,How certain is Rachel that Carl's kids were in the garage?,0.49,garage,,0,Garages are used to store cars and other things,,16670,4,MC,Control,,
63,condition1,0.5,How certain is Brenda that Owen shoveled snow last winter?,0.18,owen,,0.25351724137931,Owen lives in Chicago,,17528,5,say_neg,Critical,,
63,condition1,0.53,How certain is Julie that Jack was playing outside with the kids?,0.47,kids,,0,Many children like ice cream,,14848,6,MC,Control,,
63,condition1,0.66,How certain is Justin that Jayden rented a car?,0.46,jayden,,0.687794117647059,Jayden's car is in the shop,,14392,7,confirm_pos,Critical,,
63,condition1,0.98,How certain is Karen that Mary is pregnant?,0.88,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,15775,8,simple_polar,Critical,,
63,condition1,0.5,How certain is Paul that Frank got a cat?,0.48,frank,,0.32027972027971996,Frank has always wanted a pet,,11168,9,confirm_neg,Critical,,
63,condition1,0.52,How certain is Kathleen that Samantha has a new hat?,0.48,hat,,0,Hats are worn on the head,,11031,10,MC,Control,,
63,condition1,0.19,How certain is Diane that Charley doesn't speak Spanish?,0.83,charley,,0.804632352941177,Charley lives in Mexico,,20855,11,think_pos,Critical,,
63,condition1,0.98,How certain is Jennifer that Josie didn't go on vacation to France?,1,josie,,0.26656050955414,Josie loves France,,17119,12,know_neg,Critical,,
63,condition1,0.99,How certain is Nancy that Tony had a drink last night?,0.99,tony,,0.747279411764706,Tony really likes to party with his friends,,17823,13,inform_pos,Critical,,
63,condition1,0.99,How certain is Raymond that Jon walks to work?,0.99,jon,,0.7559375,Jon lives 2 blocks away from work,,11192,14,know_pos,Critical,,
63,condition1,0.74,How certain is Jeffrey that Danny ate the last cupcake?,0.74,danny,,0.697062937062937,Danny loves cake,,12440,15,say_pos,Critical,,
63,condition1,0,How certain is Donald that Grace visited her sister?,0.99,grace,,0.209855072463768,Grace loves her sister,,15088,16,inform_neg,Critical,,
63,condition1,0.53,How certain is Sharon that Ann dances ballet?,0.49,ballet,,0,Ballet is a type of dance,,10696,17,MC,Control,,
63,condition1,0.52,How certain is Dennis that these muffins have blueberries in them?,0.44,muffins,,0,Muffins are sold at the bakery,,8848,18,MC,Control,,
63,condition1,0.8,How certain is Kimberly that Jackson ran 10 miles?,0.48,jackson,,0.774965034965035,Jackson is training for a marathon,,9264,19,simple_polar,Critical,,
63,condition1,0.51,How certain is Alexander that this pizza has mushrooms on it?,0.49,pizza,,0,Pizza is sold at the pizzeria,,12408,20,MC,Control,,
63,condition1,0.02,How certain is Tyler that Zoe calculated the tip?,0.98,zoe,,0.25402877697841697,Zoe is a math major,,12160,21,think_neg,Critical,,
50,condition1,,,,,Barbara,,,Barbara,0,1,,,bot_check,
50,condition1,0.15,How certain is Ruth that Jackson ran 10 miles?,0.94,jackson,,0.225034965034965,Jackson is training for a marathon,,93817,4,think_neg,Critical,,
50,condition1,0.81,How certain is Christina that Ann dances ballet?,0.81,ballet,,0,Ballet is a type of dance,,61296,5,MC,Control,,
